,ID,Predicted_values
0,0x160a,2
1,0x160b,2
2,0x160c,2
3,0x160d,2
4,0x1616,2
5,0x1617,2
6,0x1618,2
7,0x1619,2
8,0x1622,2
9,0x1623,2
10,0x1624,2
11,0x1625,1
12,0x162e,1
13,0x162f,1
14,0x1630,1
15,0x1631,1
16,0x163a,1
17,0x163b,1
18,0x163c,1
19,0x163d,1
20,0x1646,2
21,0x1647,2
22,0x1648,2
23,0x1649,2
24,0x1652,2
25,0x1653,2
26,0x1654,2
27,0x1655,2
28,0x165e,0
29,0x165f,0
30,0x1660,1
31,0x1661,1
32,0x166a,2
33,0x166b,2
34,0x166c,1
35,0x166d,1
36,0x1676,2
37,0x1677,2
38,0x1678,2
39,0x1679,2
40,0x1682,1
41,0x1683,1
42,0x1684,1
43,0x1685,1
44,0x168e,1
45,0x168f,1
46,0x1690,2
47,0x1691,1
48,0x169a,1
49,0x169b,1
50,0x169c,1
51,0x169d,1
52,0x16a6,0
53,0x16a7,0
54,0x16a8,0
55,0x16a9,0
56,0x16b2,1
57,0x16b3,1
58,0x16b4,1
59,0x16b5,1
60,0x16be,1
61,0x16bf,1
62,0x16c0,1
63,0x16c1,1
64,0x16ca,1
65,0x16cb,1
66,0x16cc,1
67,0x16cd,1
68,0x16d6,1
69,0x16d7,1
70,0x16d8,1
71,0x16d9,1
72,0x16e2,1
73,0x16e3,1
74,0x16e4,2
75,0x16e5,2
76,0x16ee,0
77,0x16ef,0
78,0x16f0,0
79,0x16f1,0
80,0x16fa,1
81,0x16fb,1
82,0x16fc,1
83,0x16fd,1
84,0x1706,0
85,0x1707,0
86,0x1708,0
87,0x1709,0
88,0x1712,2
89,0x1713,1
90,0x1714,1
91,0x1715,1
92,0x171e,1
93,0x171f,1
94,0x1720,1
95,0x1721,1
96,0x172a,0
97,0x172b,0
98,0x172c,0
99,0x172d,0
100,0x1736,1
101,0x1737,1
102,0x1738,1
103,0x1739,1
104,0x1742,0
105,0x1743,0
106,0x1744,0
107,0x1745,0
108,0x174e,1
109,0x174f,1
110,0x1750,1
111,0x1751,1
112,0x175a,1
113,0x175b,1
114,0x175c,1
115,0x175d,1
116,0x1766,0
117,0x1767,0
118,0x1768,0
119,0x1769,0
120,0x1772,2
121,0x1773,2
122,0x1774,1
123,0x1775,1
124,0x177e,0
125,0x177f,0
126,0x1780,0
127,0x1781,0
128,0x178a,1
129,0x178b,1
130,0x178c,1
131,0x178d,1
132,0x1796,1
133,0x1797,1
134,0x1798,1
135,0x1799,1
136,0x17a2,1
137,0x17a3,2
138,0x17a4,2
139,0x17a5,2
140,0x17ae,1
141,0x17af,1
142,0x17b0,1
143,0x17b1,1
144,0x17ba,0
145,0x17bb,0
146,0x17bc,0
147,0x17bd,0
148,0x17c6,1
149,0x17c7,1
150,0x17c8,1
151,0x17c9,1
152,0x17d2,0
153,0x17d3,0
154,0x17d4,0
155,0x17d5,0
156,0x17de,1
157,0x17df,1
158,0x17e0,1
159,0x17e1,1
160,0x17ea,1
161,0x17eb,1
162,0x17ec,1
163,0x17ed,1
164,0x17f6,1
165,0x17f7,1
166,0x17f8,1
167,0x17f9,1
168,0x1802,1
169,0x1803,1
170,0x1804,1
171,0x1805,1
172,0x180e,2
173,0x180f,2
174,0x1810,2
175,0x1811,2
176,0x181a,2
177,0x181b,2
178,0x181c,2
179,0x181d,2
180,0x1826,1
181,0x1827,1
182,0x1828,1
183,0x1829,1
184,0x1832,0
185,0x1833,0
186,0x1834,0
187,0x1835,0
188,0x183e,2
189,0x183f,1
190,0x1840,1
191,0x1841,1
192,0x184a,1
193,0x184b,1
194,0x184c,1
195,0x184d,1
196,0x1856,1
197,0x1857,1
198,0x1858,1
199,0x1859,1
200,0x1862,0
201,0x1863,0
202,0x1864,0
203,0x1865,0
204,0x186e,0
205,0x186f,0
206,0x1870,0
207,0x1871,0
208,0x187a,0
209,0x187b,0
210,0x187c,0
211,0x187d,0
212,0x1886,1
213,0x1887,1
214,0x1888,1
215,0x1889,1
216,0x1892,1
217,0x1893,1
218,0x1894,1
219,0x1895,1
220,0x189e,1
221,0x189f,1
222,0x18a0,2
223,0x18a1,2
224,0x18aa,1
225,0x18ab,1
226,0x18ac,1
227,0x18ad,1
228,0x18b6,0
229,0x18b7,0
230,0x18b8,0
231,0x18b9,0
232,0x18c2,0
233,0x18c3,0
234,0x18c4,0
235,0x18c5,0
236,0x18ce,0
237,0x18cf,0
238,0x18d0,0
239,0x18d1,0
240,0x18da,1
241,0x18db,0
242,0x18dc,1
243,0x18dd,1
244,0x18e6,1
245,0x18e7,1
246,0x18e8,1
247,0x18e9,1
248,0x18f2,2
249,0x18f3,2
250,0x18f4,2
251,0x18f5,2
252,0x18fe,2
253,0x18ff,2
254,0x1900,2
255,0x1901,2
256,0x190a,1
257,0x190b,1
258,0x190c,1
259,0x190d,1
260,0x1916,0
261,0x1917,0
262,0x1918,0
263,0x1919,0
264,0x1922,1
265,0x1923,1
266,0x1924,1
267,0x1925,1
268,0x192e,0
269,0x192f,0
270,0x1930,1
271,0x1931,0
272,0x193a,1
273,0x193b,1
274,0x193c,1
275,0x193d,1
276,0x1946,0
277,0x1947,0
278,0x1948,0
279,0x1949,0
280,0x1952,2
281,0x1953,1
282,0x1954,2
283,0x1955,2
284,0x195e,1
285,0x195f,1
286,0x1960,1
287,0x1961,1
288,0x196a,2
289,0x196b,2
290,0x196c,2
291,0x196d,2
292,0x1976,1
293,0x1977,1
294,0x1978,1
295,0x1979,1
296,0x1982,2
297,0x1983,2
298,0x1984,2
299,0x1985,2
300,0x198e,0
301,0x198f,0
302,0x1990,0
303,0x1991,1
304,0x199a,1
305,0x199b,1
306,0x199c,1
307,0x199d,1
308,0x19a6,2
309,0x19a7,2
310,0x19a8,2
311,0x19a9,2
312,0x19b2,1
313,0x19b3,1
314,0x19b4,1
315,0x19b5,1
316,0x19be,0
317,0x19bf,0
318,0x19c0,0
319,0x19c1,0
320,0x19ca,1
321,0x19cb,1
322,0x19cc,1
323,0x19cd,1
324,0x19d6,2
325,0x19d7,2
326,0x19d8,2
327,0x19d9,2
328,0x19e2,1
329,0x19e3,1
330,0x19e4,1
331,0x19e5,1
332,0x19ee,1
333,0x19ef,1
334,0x19f0,2
335,0x19f1,2
336,0x19fa,1
337,0x19fb,1
338,0x19fc,1
339,0x19fd,1
340,0x1a06,1
341,0x1a07,1
342,0x1a08,1
343,0x1a09,1
344,0x1a12,0
345,0x1a13,0
346,0x1a14,0
347,0x1a15,0
348,0x1a1e,1
349,0x1a1f,1
350,0x1a20,1
351,0x1a21,1
352,0x1a2a,1
353,0x1a2b,1
354,0x1a2c,1
355,0x1a2d,1
356,0x1a36,2
357,0x1a37,2
358,0x1a38,1
359,0x1a39,1
360,0x1a42,1
361,0x1a43,1
362,0x1a44,2
363,0x1a45,1
364,0x1a4e,2
365,0x1a4f,2
366,0x1a50,2
367,0x1a51,2
368,0x1a5a,1
369,0x1a5b,1
370,0x1a5c,1
371,0x1a5d,1
372,0x1a66,1
373,0x1a67,1
374,0x1a68,1
375,0x1a69,1
376,0x1a72,0
377,0x1a73,0
378,0x1a74,1
379,0x1a75,1
380,0x1a7e,1
381,0x1a7f,1
382,0x1a80,1
383,0x1a81,1
384,0x1a8a,0
385,0x1a8b,0
386,0x1a8c,2
387,0x1a8d,2
388,0x1a96,1
389,0x1a97,1
390,0x1a98,1
391,0x1a99,1
392,0x1aa2,1
393,0x1aa3,1
394,0x1aa4,1
395,0x1aa5,1
396,0x1aae,0
397,0x1aaf,0
398,0x1ab0,0
399,0x1ab1,0
400,0x1aba,2
401,0x1abb,2
402,0x1abc,2
403,0x1abd,2
404,0x1ac6,1
405,0x1ac7,1
406,0x1ac8,2
407,0x1ac9,2
408,0x1ad2,0
409,0x1ad3,0
410,0x1ad4,0
411,0x1ad5,0
412,0x1ade,1
413,0x1adf,1
414,0x1ae0,1
415,0x1ae1,1
416,0x1aea,0
417,0x1aeb,1
418,0x1aec,1
419,0x1aed,0
420,0x1af6,0
421,0x1af7,0
422,0x1af8,0
423,0x1af9,0
424,0x1b02,1
425,0x1b03,1
426,0x1b04,1
427,0x1b05,1
428,0x1b0e,1
429,0x1b0f,1
430,0x1b10,1
431,0x1b11,1
432,0x1b1a,1
433,0x1b1b,1
434,0x1b1c,1
435,0x1b1d,1
436,0x1b26,0
437,0x1b27,0
438,0x1b28,0
439,0x1b29,0
440,0x1b32,0
441,0x1b33,1
442,0x1b34,2
443,0x1b35,0
444,0x1b3e,2
445,0x1b3f,2
446,0x1b40,2
447,0x1b41,1
448,0x1b4a,2
449,0x1b4b,1
450,0x1b4c,0
451,0x1b4d,0
452,0x1b56,0
453,0x1b57,0
454,0x1b58,0
455,0x1b59,0
456,0x1b62,1
457,0x1b63,1
458,0x1b64,1
459,0x1b65,1
460,0x1b6e,2
461,0x1b6f,2
462,0x1b70,2
463,0x1b71,2
464,0x1b7a,1
465,0x1b7b,1
466,0x1b7c,1
467,0x1b7d,1
468,0x1b86,0
469,0x1b87,0
470,0x1b88,0
471,0x1b89,0
472,0x1b92,1
473,0x1b93,1
474,0x1b94,1
475,0x1b95,0
476,0x1b9e,1
477,0x1b9f,1
478,0x1ba0,2
479,0x1ba1,1
480,0x1baa,0
481,0x1bab,0
482,0x1bac,0
483,0x1bad,0
484,0x1bb6,0
485,0x1bb7,0
486,0x1bb8,0
487,0x1bb9,0
488,0x1bc2,1
489,0x1bc3,1
490,0x1bc4,1
491,0x1bc5,1
492,0x1bce,2
493,0x1bcf,2
494,0x1bd0,2
495,0x1bd1,2
496,0x1bda,1
497,0x1bdb,1
498,0x1bdc,1
499,0x1bdd,1
500,0x1be6,0
501,0x1be7,0
502,0x1be8,1
503,0x1be9,1
504,0x1bf2,1
505,0x1bf3,1
506,0x1bf4,1
507,0x1bf5,1
508,0x1bfe,2
509,0x1bff,2
510,0x1c00,2
511,0x1c01,1
512,0x1c0a,1
513,0x1c0b,1
514,0x1c0c,1
515,0x1c0d,1
516,0x1c16,2
517,0x1c17,2
518,0x1c18,2
519,0x1c19,0
520,0x1c22,1
521,0x1c23,1
522,0x1c24,1
523,0x1c25,1
524,0x1c2e,0
525,0x1c2f,0
526,0x1c30,0
527,0x1c31,0
528,0x1c3a,0
529,0x1c3b,0
530,0x1c3c,0
531,0x1c3d,0
532,0x1c46,1
533,0x1c47,1
534,0x1c48,1
535,0x1c49,1
536,0x1c52,1
537,0x1c53,1
538,0x1c54,1
539,0x1c55,1
540,0x1c5e,1
541,0x1c5f,1
542,0x1c60,1
543,0x1c61,1
544,0x1c6a,1
545,0x1c6b,1
546,0x1c6c,1
547,0x1c6d,1
548,0x1c76,1
549,0x1c77,1
550,0x1c78,1
551,0x1c79,1
552,0x1c82,1
553,0x1c83,1
554,0x1c84,1
555,0x1c85,1
556,0x1c8e,1
557,0x1c8f,1
558,0x1c90,1
559,0x1c91,1
560,0x1c9a,0
561,0x1c9b,1
562,0x1c9c,0
563,0x1c9d,0
564,0x1ca6,2
565,0x1ca7,2
566,0x1ca8,2
567,0x1ca9,2
568,0x1cb2,2
569,0x1cb3,2
570,0x1cb4,2
571,0x1cb5,2
572,0x1cbe,1
573,0x1cbf,1
574,0x1cc0,1
575,0x1cc1,1
576,0x1cca,1
577,0x1ccb,1
578,0x1ccc,1
579,0x1ccd,1
580,0x1cd6,2
581,0x1cd7,2
582,0x1cd8,2
583,0x1cd9,2
584,0x1ce2,1
585,0x1ce3,1
586,0x1ce4,1
587,0x1ce5,1
588,0x1cee,0
589,0x1cef,0
590,0x1cf0,0
591,0x1cf1,0
592,0x1cfa,2
593,0x1cfb,2
594,0x1cfc,2
595,0x1cfd,2
596,0x1d06,0
597,0x1d07,0
598,0x1d08,0
599,0x1d09,0
600,0x1d12,1
601,0x1d13,1
602,0x1d14,1
603,0x1d15,1
604,0x1d1e,1
605,0x1d1f,1
606,0x1d20,1
607,0x1d21,1
608,0x1d2a,2
609,0x1d2b,2
610,0x1d2c,1
611,0x1d2d,1
612,0x1d36,2
613,0x1d37,2
614,0x1d38,2
615,0x1d39,2
616,0x1d42,2
617,0x1d43,2
618,0x1d44,2
619,0x1d45,2
620,0x1d4e,1
621,0x1d4f,1
622,0x1d50,1
623,0x1d51,1
624,0x1d5a,2
625,0x1d5b,2
626,0x1d5c,2
627,0x1d5d,2
628,0x1d66,1
629,0x1d67,1
630,0x1d68,1
